SCHOOL,AGE,HOURPAY
15,52,8.6000004
11,46,20.25
13,42,9.6000004
11,41,12.75
11,24,5.8800001
13,23,7
17,34,14.96
20,51,50.610001
12,32,16.84
13,30,7.6999998
11,42,7.9099998
10,70,11.6
18,37,31.6
18,33,23.809999
12,27,11.16
16,27,15.38
13,25,7.52
12,61,10.16
17,57,50.610001
16,32,7.8099999
17,29,16.41
17,29,9.1499996
11,65,38.470001
10,59,6.6700001
11,44,3.8499999
23,42,45.049999
18,30,14.32
16,28,8.6499996
12,51,10.63
11,40,9.1099997
19,55,8.0200005
19,55,9.2399998
11,52,11.16
11,51,10.21
11,23,6.6700001
17,54,51.970001
18,53,21.629999
17,59,15.45
16,45,8.1800003
18,40,42.900002
18,38,44.380001
11,51,16.51
10,34,7.6199999
10,58,7
10,63,6.23
14,39,8.2799997
10,41,29.58
21,32,8.6499996
12,22,7.5100002
15,28,10
16,32,12.5
11,48,8.1300001
18,36,12.03
16,33,15.18
17,30,12.66
12,60,9.6000004
10,56,12.03
13,50,14.96
13,47,14.72
13,33,9.2299995
13,45,17.459999
13,66,6.9000001
12,54,10.9
13,57,11.08
16,23,6.6700001
14,53,42.73
18,57,42.73
13,40,11.03
17,28,7.02
10,58,12.38
11,56,9.2299995
12,37,10
16,30,9.2799997
11,27,8.9700003
10,44,10.42
12,47,7
11,17,4
12,70,.25
12,57,16.389999
11,54,26.32
10,64,17.16
14,19,9.2299995
11,32,6.1900001
11,50,7.3000002
10,22,8.2799997
19,25,18.85
13,34,16.450001
13,48,17.15
10,58,12.44
13,21,4.7399998
12,23,8.8699999
19,25,6.73
10,70,7.71
18,32,7.6900001
17,30,23.08
13,49,18.139999
12,51,27.32
18,52,44.700001
11,55,13.12
11,49,8.2799997
11,46,8.8699999
11,42,9.3699999
12,20,6.2399998
11,37,10.68
11,48,9.3000002
11,51,20.690001
11,41,6.0799999
12,18,8.3299999
11,30,9.0200005
12,33,9.2799997
11,51,9.8599997
15,58,4.5
21,47,21.73
13,18,3.53
18,48,16.379999
11,37,16.030001
13,47,76.93
13,51,11.17
19,54,14.13
15,49,12.47
11,57,11.95
11,55,8.7200003
11,60,19.219999
13,61,9.6099997
16,31,16.42
13,46,23.51
13,46,7.6700001
13,24,17.299999
16,22,9.8500004
16,51,19.25
11,28,14.5
11,33,8
16,33,12.32
16,32,14.49
14,64,27.25
17,27,10.89
16,26,22.76
13,23,11.31
11,35,11.34
12,36,10.29
18,44,48.080002
13,45,10.9
10,56,7.5900002
12,59,6.6100001
17,41,20.08
17,37,19.780001
13,48,10.4
11,48,5.3200002
12,46,15.37
13,51,17.459999
13,47,11.54
13,43,15.18
11,41,6.9099998
11,37,5.75
10,57,5.71
10,59,8.0799999
11,27,5.9200001
13,35,8.5500002
11,34,11.02
12,39,4.9400001
14,62,19.23
14,52,17.16
17,34,2.6300001
17,34,54.939999
11,36,6.5500002
11,52,4.1100001
14,19,7.6999998
20,29,24.040001
23,33,40.060001
11,38,9.6400003
12,45,9
11,43,26.450001
16,28,8
18,38,14.3
11,41,8.4099998
17,24,11.05
11,22,7.3699999
13,45,16.879999
13,47,21.629999
12,31,5.75
10,60,6.23
11,44,6.9200001
15,35,12.33
11,32,10.52
12,23,5
14,48,20.889999
13,47,14.43
11,63,6.1300001
13,44,11.13
11,49,28.67
11,56,7.5900002
13,51,9.6199999
11,29,6.8699999
13,52,19.24
13,19,5
11,55,11.13
11,19,7.8899999
10,18,4.9299998
17,54,7.5799999
15,45,10.45
17,43,1.92
16,44,14.42
13,31,14.68
11,34,9.8199997
14,49,12.81
20,25,4.8499999
11,60,18.75
11,60,6.3499999
11,39,10.42
17,63,25.32
13,56,17.360001
13,51,24.129999
17,35,17.809999
13,27,7.3699999
11,27,11.43
12,22,4.9099998
11,46,7.8899999
13,46,9.3699999
12,49,11.1
17,51,25.290001
12,50,27.709999
13,42,13.79
11,50,5.6300001
11,33,6
16,59,11.53
12,49,7.6300001
16,49,9.3699999
13,20,5
11,41,8
11,48,6.6700001
11,31,7.5999999
10,50,8.5600004
12,58,16.030001
13,37,6.8800001
17,67,16
12,46,6.3299999
13,48,23.42
11,45,11.18
15,29,13.79
18,28,16.809999
11,30,12.98
13,67,9.6300001
19,50,27.68
13,41,17.5
12,42,8
12,19,5.5599999
12,34,14.43
13,57,35.349998
11,32,10.33
11,45,7.48
11,24,8
10,49,6.25
17,44,27.540001
16,43,21.629999
12,45,16.110001
11,50,24.68
13,52,7.3600001
13,25,6.1999998
14,53,9.8900003
14,30,9.2299995
20,32,10.38
11,61,22
15,28,10
10,63,16.35
18,43,7.3400002
19,58,20.780001
12,24,7.4200001
13,56,18.280001
17,39,48.080002
14,38,7.6999998
11,45,9.3800001
17,46,35.27
12,50,26
8,33,5.9499998
17,23,6.25
15,23,5.23
11,46,14.29
13,28,8.9300003
11,48,12.66
11,42,36.029999
13,33,10.36
18,27,6.27
13,55,8.8800001
22,47,43.029999
13,60,21.629999
13,43,17.709999
16,42,8.7200003
13,18,12.25
13,70,8.0200005
12,31,23.65
18,23,6.25
11,52,38.450001
13,33,8.5299997
10,23,5.3499999
10,60,5.5599999
12,57,3
11,54,15.29
14,26,6.4400001
11,45,7.5599999
11,52,8.7200003
10,57,7.8800001
13,43,20.120001
12,19,3.73
14,45,24.17
14,47,7.6999998
14,40,16.35
13,33,20.549999
18,31,43.279999
18,31,24.049999
11,45,6.5
10,56,19.200001
20,50,10.35
13,31,3.79
16,32,25
16,36,18.74
10,62,8
16,42,48.080002
11,32,5.77
11,33,7.5300002
16,58,14.64
16,47,16.67
11,60,6.1300001
12,34,5.73
10,26,4.8099999
16,55,28.85
16,46,16.559999
13,47,32
11,36,6.0500002
11,41,7.1399999
10,64,8
16,59,24.950001
13,60,12.5
13,52,24.709999
13,28,9.6300001
10,48,5.9699998
14,24,14.29
13,59,28.1
12,53,12.73
11,39,7.1900001
13,46,10.88
15,52,19.24
9,59,10.82
18,38,9.7600002
11,41,10.43
13,38,5
13,21,8.6499996
16,67,28.879999
11,50,15.08
11,52,12.03
18,51,32.049999
16,43,18.190001
16,41,17.5
11,31,8.2799997
11,29,13.34
17,29,10.13
16,31,13.92
12,26,9.0200005
10,60,14.61
11,54,7.3099999
13,32,3.8299999
11,25,7.5
9,59,7.5
17,28,10.05
13,31,11.36
13,47,5.75
10,60,5
11,52,10.67
11,53,9.6499996
16,45,15.59
11,40,6.9299998
16,22,7.6300001
17,47,5.6300001
12,61,6.9299998
16,26,3.53
12,26,7.8899999
12,40,13.66
17,40,23.549999
11,52,12.64
11,51,35.419998
13,47,18.440001
11,51,15.57
16,21,5.8299999
14,19,3.5
11,27,7.21
13,29,11.95
14,36,19
13,54,6.21
17,25,11.95
18,41,26.93
16,41,6.75
16,63,61.529999
12,50,13.16
18,62,7.5999999
17,31,18.209999
14,36,14.9
14,28,7.8800001
16,55,17.799999
11,23,8.8699999
17,53,21.84
11,50,8.8400002
16,22,7.54
10,56,7
11,54,9.0900002
14,25,7.7600002
11,46,6.5700002
11,34,7.52
10,64,21.08
10,53,7.0799999
16,56,11.16
11,42,8.6499996
11,19,8.8900003
10,63,8.2399998
19,58,36.450001
10,62,13.7
16,24,7
11,25,7.6999998
11,22,8.1800003
11,28,10.27
15,31,4.8099999
13,45,12.27
13,46,5.4000001
13,47,32.689999
12,18,2.6099999
12,29,10.4
11,32,9.0500002
13,42,9.3299999
13,44,9.1999998
11,18,6.1300001
19,24,6.54
20,27,6.3200002
13,30,11.71
10,34,6.6300001
13,45,15.7
10,50,6.8600001
12,48,14.03
12,47,45.189999
11,58,23.08
11,41,48.080002
11,25,5.7800002
12,26,6.6700001
13,36,15.39
11,47,17.440001
11,44,9.5
12,22,7.5799999
11,55,7.8600001
17,38,24.370001
17,37,20
14,53,5.75
11,34,5.75
25,34,6.3499999
11,48,5.5599999
11,52,11.75
10,61,7.6999998
15,53,11.81
16,49,16.18
11,39,20.24
11,37,11.95
19,40,12.16
16,57,34.419998
11,23,6.1500001
12,53,6.9400001
15,40,8.9300003
12,42,12.39
13,34,6.1999998
10,57,6.4499998
13,59,11.43
11,56,9.8299999
11,48,22.18
11,45,9.3599997
11,56,11
17,49,1.5
12,42,3.3299999
11,52,21.889999
16,24,9.25
12,21,10.6
10,60,6.1900001
11,38,4.6199999
11,40,11.38
12,63,14.63
10,63,28.860001
12,33,2.7
11,26,6.3000002
11,59,13.23
11,50,21.93
10,43,19.25
15,27,3.8499999
11,23,3.96
19,26,7.0599999
15,30,14.32
15,26,4.8000002
17,60,12.3
14,62,10.48
19,32,20.440001
11,35,24.059999
14,62,5.4299998
12,42,26.370001
11,53,33.509998
11,63,18.5
19,33,9.71
15,36,9.8199997
11,18,2.3299999
11,48,17.299999
10,60,7.1399999
14,48,7.29
11,39,15.38
11,35,14.82
11,58,11.55
14,46,8.0500002
16,57,36.279999
14,27,6.98
13,22,7.6900001
11,53,16.559999
11,53,13.89
11,58,7
17,27,9.3500004
11,53,17.09
11,48,9.2399998
10,47,7.6300001
10,56,6.3299999
11,31,23.09
13,55,17.639999
13,18,9.1000004
16,55,23.08
15,40,9
12,41,17.709999
11,53,13.83
10,60,7.6900001
11,26,13.31
16,26,14.68
12,65,11.54
11,33,8.71
12,45,27.48
17,41,22.76
11,29,4.79
12,42,10.86
16,44,17.92
17,41,17.309999
18,31,17
10,49,8.5100002
14,40,12.82
14,38,12.33
11,59,9.6099997
13,61,12.49
16,45,4.0500002
11,52,10.27
12,55,8.2399998
13,20,5.7800002
19,43,20.200001
20,40,16.18
17,53,33.419998
11,38,8.2299995
17,37,17.299999
12,45,20.34
13,28,6.6300001
22,49,16.379999
11,42,9.8900003
11,43,9.8900003
16,30,7.1900001
13,23,3.8299999
16,46,4.5
11,42,20.98
16,40,7.3699999
10,60,8.6499996
23,41,31.190001
20,40,23.379999
11,36,5.1300001
13,56,6.5999999
18,59,22.43
13,39,8.2299995
17,31,13.11
17,32,23.08
16,34,23
10,60,12.07
17,58,34.130001
11,53,18.389999
11,25,9.6300001
13,33,3.96
15,39,13.85
11,47,7.1300001
13,47,25.32
11,57,10.77
10,55,5.6300001
16,31,19.23
17,30,18.280001
13,26,6.75
14,32,10.92
11,45,6.6500001
16,41,32.700001
10,66,10.29
17,48,21.870001
11,57,7.6999998
11,54,7.6700001
16,49,15.18
11,35,5.1300001
17,34,34.959999
13,38,6.71
18,35,38.459999
11,57,5.5999999
12,37,6.96
16,50,23.5
10,64,9.6199999
14,65,3.52
13,30,14.9
12,30,7.4200001
12,60,13.73
10,60,12.7
16,28,12.16
13,31,16.18
12,30,5.6500001
15,33,5.75
16,29,6.9099998
11,51,15
11,42,8.1800003
11,53,8.8299999
11,56,10.1
11,41,9.2299995
16,45,25.32
18,43,24.290001
17,34,15.18
12,35,7.52
15,39,11.03
11,27,5.8699999
11,29,9.0200005
11,50,18.030001
11,55,13.51
11,56,14.2
11,32,6.3800001
17,56,27.299999
13,19,6.5300002
13,32,26.440001
13,33,38.950001
16,42,24.290001
14,39,10.14
12,54,16.049999
11,46,8.9700003
10,56,11.31
12,55,33.650002
12,49,15.68
13,56,1.75
16,32,20.17
11,35,5.75
10,44,8.8699999
18,52,19.74
11,39,15.18
11,35,16.67
10,63,7.0999999
10,57,12.4
11,57,6.73
13,19,2.6500001
13,24,4.79
12,47,10.11
10,63,5
16,37,7.8299999
11,22,7.0999999
10,63,12.22
13,56,18.690001
20,36,34.810001
15,47,16.620001
18,29,9.5
11,31,8.29
11,31,11.37
11,56,7.6700001
11,16,2.5
11,51,17.299999
11,55,9.9499998
14,47,20.24
21,47,32.889999
13,18,6.0799999
11,42,8.5500002
11,50,16.040001
10,59,7.1500001
11,31,9.1199999
11,27,5.52
19,31,16.49
18,31,18.690001
11,53,18.4
10,50,9.3000002
13,45,15.94
11,49,6.5900002
11,51,13.5
13,54,10.48
13,21,6.8600001
10,29,11.25
12,39,9
10,64,15.18
11,51,9.1999998
11,35,16.83
18,35,16.129999
15,34,13.11
10,63,14.44
13,60,5.9000001
15,53,15.73
12,58,12.91
11,31,7.2199998
12,23,8.8000002
11,56,50.610001
11,45,9.0900002
12,53,17.75
11,48,6.9099998
17,43,18.1
11,42,11.1
18,36,16.83
15,46,11.84
10,34,8.2299995
12,23,7.9099998
11,43,25.639999
13,42,10.58
13,21,14.58
14,38,15.6
15,48,12.98
8,62,5
11,45,7.0599999
11,52,20.74
14,58,20.440001
11,66,5.5300002
13,35,3.3800001
11,40,36.450001
13,33,14.03
11,52,20.370001
17,28,12.16
17,29,17.309999
11,43,6.25
13,40,5.79
12,21,5.8099999
19,63,16.67
10,56,8.5
11,64,11.54
14,51,5.52
14,52,16.709999
11,54,7.1399999
11,59,7.3699999
11,25,7.1900001
12,46,15.68
11,42,5.5900002
11,48,14.94
11,48,9.6099997
13,63,32.040001
15,58,13.47
20,42,50.610001
12,58,6.4000001
14,61,37.950001
17,32,11.63
13,36,6.98
10,60,8
14,47,10.88
11,46,8.4700003
11,26,6.9299998
13,24,8.8500004
11,41,6.1300001
11,47,9.3299999
17,40,33.66
16,62,15.38
11,54,9.6300001
11,45,14.62
11,22,7.3200002
13,43,31.25
13,36,13.18
11,45,10.2
11,41,8.2299995
13,46,11.36
18,52,16.219999
11,59,5.9400001
11,54,17.860001
11,51,10.54
17,55,37.470001
11,35,7.9400001
12,63,9.6700001
11,56,8
17,49,22.76
13,49,10
16,36,19.860001
22,42,9.8199997
17,53,13.45
13,21,5.75
13,19,5.7800002
9,45,6.25
10,60,8.1099997
10,65,9.8000002
10,64,16.809999
10,61,11.95
13,56,20.780001
10,45,15.59
12,37,9.0600004
15,36,19.49
11,56,5
13,27,7.8400002
19,44,8.7299995
12,23,6.73
13,44,11.54
15,27,7.6900001
15,44,7.48
11,48,6.3499999
24,39,10.95
11,49,8.6999998
12,67,12.96
14,28,12.49
11,52,7
13,28,19.709999
11,26,13.31
10,34,7.1999998
14,27,8.6199999
13,28,11.43
11,22,5.9000001
10,45,9.71
35,55,15.38
11,54,22.76
11,43,6.1500001
11,39,7.4299998
11,58,11.54
17,23,12.16
16,24,16.709999
11,58,8.6499996
11,48,15.73
16,35,20.639999
16,39,20.25
12,36,14.21
12,36,9.5299997
13,31,10.16
9,58,7.9099998
11,60,11.85
16,42,19.780001
16,44,16.030001
17,56,25.969999
16,35,18.860001
16,33,45.549999
13,53,18.75
17,45,15.39
16,40,16.790001
11,40,7.3000002
10,68,7.5
13,35,17.879999
13,30,9.6300001
13,42,13.31
16,50,6.8800001
12,63,11.53
10,37,7.1399999
19,69,19.440001
11,29,9
14,20,2.53
12,19,2.55
10,65,7.1999998
16,50,30.889999
11,42,4.4499998
11,46,7.98
12,32,6.9299998
11,47,2.4000001
13,19,2.6700001
16,26,8.0500002
11,22,15.38
11,35,9.6300001
10,34,6.1799998
11,57,9.1400003
11,51,4.6399999
12,48,9.5500002
13,50,8.3800001
12,55,18
19,65,19.23
13,27,16.15
16,26,10.2
11,47,18.02
11,46,8
14,47,9.6199999
11,34,6.75
15,37,9
11,36,3.0699999
17,36,14.36
11,43,10
13,33,6.9000001
13,39,5.8299999
11,43,12.11
10,57,16.030001
10,57,23.08
13,46,17.66
11,46,17.48
13,18,7.9400001
11,59,12.59
13,23,5.4699998
11,32,6.9299998
11,44,20.27
11,45,6.6199999
16,44,42.73
16,44,12.8
14,19,1.67
13,35,8.6300001
25,57,30.23
11,55,7.7800002
11,45,17.77
21,27,12.65
18,31,7.9099998
14,23,6.8400002
18,34,17.549999
11,53,4.2399998
17,40,11.41
13,54,12.63
13,54,7.1999998
13,40,8.4300003
13,39,6.8400002
11,45,9.1099997
10,63,11.95
10,60,9.0500002
11,25,6.6399999
13,29,6.4299998
11,38,16.15
14,32,11.11
17,44,30.780001
15,55,16.83
17,33,21.26
10,61,17.709999
11,61,15.03
13,29,8.46
17,23,9.1099997
11,45,14.43
13,32,19.83
11,62,9.25
13,30,9.4499998
12,22,8.3299999
10,54,8
10,58,38.48
23,29,9.8000002
17,26,6.25
16,61,40.130001
13,43,16.92
12,52,19.74
18,42,18.09
14,54,18.360001
13,42,10.18
11,35,8.6700001
11,48,12.69
11,44,10.92
16,34,15.18
11,25,2.0799999
11,48,9.3000002
17,26,12.05
10,45,6.3800001
12,47,16.15
16,42,11.53
16,37,23.09
11,53,31.030001
11,39,7.9099998
17,32,7.5599999
11,58,15.38
11,58,18.209999
13,30,12.66
13,33,17
10,61,11.53
11,55,18.280001
17,37,14.96
10,52,6.8800001
10,54,12.16
11,35,11.43
13,27,7.6999998
13,33,12.16
14,64,11.78
14,26,6.6700001
11,54,9.3599997
11,26,5.6500001
10,55,6.25
11,24,8.1099997
12,42,14.68
14,28,15
17,26,5.77
9,56,7.5300002
10,59,14.69
12,48,10.43
12,30,6.6900001
16,38,14.15
11,40,19.23
11,56,9.71
14,48,20.610001
13,22,7.0799999
13,19,4.9400001
12,31,12.82
11,55,11
11,41,6
12,54,15.72
11,34,6.5
13,23,5.5
11,34,5.75
18,38,15.82
23,62,7.1999998
17,43,46.139999
17,30,19.76
18,35,11.71
11,53,14.83
13,57,8.7700005
17,58,17.65
11,51,11.89
11,52,11.54
17,41,28.34
16,41,5.8299999
16,35,20.049999
15,36,6.25
13,42,9.5299997
11,37,6.1799998
11,49,19.110001
16,34,11.55
11,53,7.7800002
13,37,7.5999999
13,26,5.1999998
11,34,12.22
11,55,6.73
11,51,6.0599999
13,43,6.1900001
23,50,26.049999
10,44,18.74
17,40,11.41
14,37,20.209999
12,46,21.200001
16,36,24.030001
13,56,6.1300001
12,49,15.18
11,60,11.06
12,63,26.379999
12,62,8.1199999
12,55,12.76
15,36,21.030001
12,41,23.059999
11,44,7.21
11,49,8.46
11,29,4.6500001
11,20,4.0500002
13,33,13.11
10,58,17.799999
16,23,9.8599997
14,28,9.6000004
14,32,12.03
11,44,18.08
13,41,18.469999
11,62,17.25
10,52,8.75
16,37,8.2399998
10,58,11.81
12,44,6.29
11,19,5
11,48,15.62
11,45,9.8900003
13,57,11.17
11,41,5.4000001
15,35,6.6900001
11,66,6.1100001
10,59,6.1100001
10,46,6.4299998
12,60,25
10,61,26.790001
14,30,6.8000002
11,63,10.13
11,59,12.09
13,41,19.23
17,39,6.75
13,33,6.75
18,39,50.610001
14,41,9.3400002
11,51,9.2200003
11,53,10.85
11,51,6.8099999
16,37,19.74
12,60,27.84
11,51,8.6000004
16,22,8.1999998
16,33,6.1599998
13,25,9.6199999
16,26,15.86
10,57,10.78
19,55,23.290001
17,22,5.9499998
11,49,8.4099998
12,27,8.1099997
13,42,12
11,41,6.1599998
13,40,21.98
10,58,6.5300002
17,31,14.9
11,34,11.53
19,40,8.1599998
16,55,19.25
17,22,6
12,43,15.38
11,35,7.27
16,35,17.84
13,53,51.290001
13,56,24.950001
16,23,6.25
13,32,15.63
14,25,7.9200001
15,24,5.5999999
11,58,7.73
18,33,21.030001
11,32,12.73
11,35,7.6399999
10,31,6.5999999
11,45,10.02
11,47,13.92
10,52,14.43
11,28,4.8000002
10,37,6.4000001
10,51,8.4899998
16,56,23.440001
18,42,22.969999
10,56,8.7799997
10,56,8
12,42,14.29
11,39,18.58
16,23,9.8699999
16,21,3.6300001
10,50,5.8299999
13,21,5
13,27,12.98
14,49,4.6900001
13,26,5.5599999
16,37,29.110001
17,33,16.67
11,56,14.83
10,48,3.5
12,56,27.389999
13,19,1.4
20,42,18.389999
13,54,9.9700003
11,30,2.3
11,52,2.9000001
10,63,5.8299999
11,45,14.57
11,46,10.4
12,43,11.56
17,34,21.379999
14,38,16.49
14,34,11.45
11,58,7.9699998
13,49,12
13,25,4
13,55,18.030001
11,27,5.9400001
11,57,10.3
10,57,11.36
13,38,22.76
11,33,10.27
13,30,6.3499999
11,44,16.35
12,26,9.1099997
12,39,11.59
11,36,10.3
16,32,8.4300003
21,54,27.84
17,43,19.200001
11,60,10.13
25,46,11.44
11,42,7.5799999
11,48,14.68
17,33,28.84
13,30,7.5799999
13,39,28.85
11,42,11.03
11,46,6.25
13,65,19.6
13,33,25.950001
13,33,19.93
20,40,15.18
11,54,8.1800003
13,19,1.5599999
17,45,6.6700001
17,46,6.6300001
14,30,15.59
20,40,18.700001
13,57,11.13
11,37,3.45
11,54,7.1900001
13,24,9.8699999
11,39,22.26
20,27,10.58
20,27,6
14,55,11.55
12,42,13.13
11,51,10.65
10,57,6.1399999
16,49,30.370001
18,30,27.530001
11,61,6.5300002
11,57,6.9200001
15,30,10
17,30,6.7600002
18,53,32.759998
12,34,2.73
14,61,13.4
11,47,8.1999998
13,44,13.46
19,60,10.83
16,21,3.8399999
16,41,18.610001
10,64,7.8299999
16,29,10.17
10,26,6.3800001
13,55,11.31
13,51,12.63
18,38,9.6000004
18,37,28.200001
11,35,3.3800001
11,33,8.2600002
14,42,15.65
11,50,15.38
13,36,6.6700001
17,48,21.629999
12,38,7.1900001
11,51,14.85
13,62,8.6499996
21,50,8.9700003
21,49,3.75
12,33,8.8999996
12,39,4.79
13,45,5.8299999
11,51,8.5
20,25,8.9499998
13,22,9.8000002
11,42,7
17,48,40.060001
18,45,36.700001
11,49,12.16
12,50,11.84
18,35,20.24
11,60,8.6499996
10,57,8.9099998
11,30,6.6700001
17,67,11.89
11,52,14.79
11,34,11.7
14,39,21.77
15,35,8.4700003
12,34,9.6300001
10,27,7.7800002
16,55,26.280001
18,28,11.78
11,56,5.7800002
13,53,16.48
16,32,12.52
20,40,33.650002
18,40,7.9099998
17,39,28.85
10,48,12.16
10,53,11.63
11,21,4
12,58,6.23
11,42,8.8699999
13,30,14.84
11,33,15.18
12,27,12.97
13,34,13.81
16,61,7.3800001
13,56,19.23
13,39,5.75
17,55,24
10,55,11.5
12,33,15.18
17,29,17
11,52,20.200001
13,53,8.8699999
17,49,20
10,66,5.8699999
11,36,7.6100001
17,59,6.0500002
16,25,15.94
17,28,21.969999
11,46,6.25
11,55,8.3500004
11,54,9.9200001
11,53,7.6900001
10,65,28.57
11,21,9.21
13,24,6.6700001
14,24,7.27
13,34,14.58
17,33,27.860001
13,39,22.620001
11,45,8
17,42,26.719999
11,45,5.77
14,21,9.8599997
9,49,6.0799999
11,43,12.2
12,40,9.8000002
18,43,16.309999
19,46,11.53
11,58,10.07
16,30,25.82
10,60,10.46
10,37,5.3600001
10,60,9.6999998
10,66,10.67
17,56,18.139999
13,53,24.709999
12,51,12.03
11,45,6.4499998
11,44,4.6300001
10,17,2.6500001
16,38,12.23
11,41,15.59
10,50,9.6199999
11,53,11.31
11,55,8.6499996
14,42,8.1000004
11,33,7.2199998
18,46,23.049999
13,49,32.970001
16,28,10.71
20,63,43.939999
16,32,21.17
10,70,6.3200002
10,67,4.3299999
13,33,14.43
11,59,23.84
18,23,6.0799999
10,59,10.18
11,40,28.57
10,65,8.1899996
11,37,24.049999
11,60,7.0500002
10,27,6.1900001
11,48,7.0700002
11,46,11.39
11,44,8.21
11,22,7.98
11,34,6.6300001
11,42,5.9499998
13,42,8.1800003
12,17,2.5
14,41,16.110001
11,51,7.0799999
12,49,15
17,22,10.13
11,48,39.849998
15,52,3.73
11,52,6.21
12,18,5
13,31,4.02
18,31,4.5300002
16,26,16.02
16,41,12
16,41,14.96
11,56,9.1099997
14,55,20
10,61,9.7600002
13,19,9.8100004
12,28,9.3800001
10,64,6.46
12,58,11.68
10,36,6.1300001
16,38,15.18
11,39,12
11,41,9.6999998
13,28,9.3500004
10,67,24.049999
11,41,5.8299999
11,47,17.66
13,37,7.5
16,32,6.9299998
13,49,9.1099997
12,26,9.3299999
18,41,23.82
33,40,11.55
13,36,9.8000002
11,59,6.4299998
10,59,8.7799997
11,51,15
11,48,6.4000001
14,20,6.6300001
16,26,6.1700001
14,27,10.1
11,34,17.959999
18,39,3.71
14,25,18.84
14,25,7.9299998
10,65,8.75
10,57,10.38
10,56,6.6700001
17,24,11.55
17,25,12.16
11,29,4.4299998
12,43,24.030001
17,49,29.58
11,38,12.03
11,36,9.5299997
17,42,12.98
11,45,9.1099997
17,60,32.040001
13,30,9.1099997
14,38,10.92
14,39,10.25
17,48,36.080002
11,62,5.9200001
11,61,11.55
11,46,18.209999
16,46,21.629999
12,53,20.83
11,43,10.6
10,70,5
12,62,10.57
13,48,21.66
17,23,12.03
11,49,9.9200001
11,21,6.3699999
16,53,19.719999
20,35,18.309999
12,53,9.6199999
17,37,18.25
17,33,20.200001
14,32,8.1000004
10,36,11.23
11,51,16.809999
13,23,13.66
17,34,11.55
11,48,23.07
18,59,16.559999
11,42,6.1300001
12,25,8.4200001
11,56,20
11,34,7.5
13,30,8.9499998
13,53,6.3400002
10,49,4.6999998
11,66,3.3800001
11,61,3.8599999
13,37,14.44
11,41,7.8699999
17,59,28.860001
11,26,6.4299998
11,22,5.9400001
13,51,17.709999
11,64,7.1999998
12,48,13.98
11,31,7.1900001
11,51,6.6199999
10,49,12.09
11,60,19.24
12,59,4.3600001
11,63,11.9
16,38,10.67
13,44,16.889999
12,32,8.2799997
12,37,7.4699998
12,44,10.73
13,19,15.6
16,50,11.15
