SCHOOL,AGE,HOURPAY
16,26,11.74
14,27,12.63
14,29,10.1
16,49,27.07
19,49,38.459999
11,66,7.5999999
10,51,18.139999
11,46,16.18
11,57,11.05
13,25,10.07
11,26,14.9
13,26,8.7299995
19,30,9.1300001
16,30,16.83
21,31,11.42
19,33,15.23
17,58,10.13
13,56,18.42
11,22,6.9299998
11,48,11.55
11,46,1.73
11,51,6.4699998
16,58,23.209999
18,48,21.629999
11,50,13.73
11,48,7.8099999
12,56,12.49
13,47,16.43
13,29,5
17,48,25.73
11,45,11.68
12,52,12.49
11,53,11.96
12,41,13.63
13,46,13.75
12,31,9.1300001
12,44,14.54
11,58,14.54
10,17,6.1399999
17,54,18.02
18,41,16.35
17,41,18.33
17,35,3.29
10,51,9.5
17,49,9.1099997
16,54,12.31
13,59,23.799999
11,41,7.4099998
11,54,50.389999
12,60,13.74
13,50,15.4
12,45,12.02
11,43,8.6499996
17,41,21.76
16,69,137.36
11,26,6.96
11,25,6.3499999
11,48,15.42
15,37,14.16
15,36,8.1099997
13,53,16.200001
11,55,6.6100001
13,47,13.55
10,69,16.67
11,67,11.5
16,35,8.6499996
11,29,7.0700002
16,25,8.8599997
13,49,28.290001
11,55,12.84
13,31,3.27
10,68,14.73
12,58,19.870001
16,53,40.470001
17,42,25.639999
20,44,21.530001
13,54,10.68
16,52,50.610001
9,56,15.86
14,58,13.43
13,45,4.5999999
12,48,13.45
11,39,7.2199998
11,49,38.459999
16,47,48.080002
13,47,20.92
13,42,50.049999
21,63,54.939999
13,52,6.8299999
11,52,14.5
15,26,6.1999998
14,38,6.6700001
10,68,7.1399999
14,45,4.3800001
11,44,34.630001
11,20,8.6099997
17,26,23.08
13,27,12.89
16,58,6.1100001
17,31,15.95
18,49,41.540001
11,26,8.9399996
16,31,48.099998
17,30,12.5
17,25,13.16
13,48,46.779999
11,40,12.82
11,44,21.629999
18,26,12.16
11,26,8.6599998
16,34,17.09
11,44,7.3299999
11,49,36.59
19,28,11.43
12,33,11.32
11,45,9.6099997
13,37,25
13,35,43.279999
13,45,26.360001
11,52,26.5
13,49,10.14
10,23,1.63
16,59,51.93
16,58,12
10,64,8.2200003
10,65,6.4000001
11,46,8.29
18,54,57.700001
14,31,9.8699999
11,52,6.5900002
10,62,13.07
11,55,19.76
11,55,11.09
11,57,6.6700001
11,53,14.11
10,47,11
10,56,11.32
19,59,17.68
11,35,8.4799995
12,30,4.8899999
18,41,46.169998
19,40,34.060001
15,58,12.5
11,55,15.67
11,37,6.8200002
17,45,8.1999998
11,41,8.1899996
13,34,14.48
11,55,28.85
13,58,20.24
18,24,7.5799999
11,50,25.639999
13,59,3.9400001
21,51,5.29
10,66,10.93
13,63,9.3000002
12,43,24.049999
